Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,108.169998,108.629997,106.449997,107.349998,101.875076,1901000
2017-10-31,107.779999,109.629997,106.849998,108.889999,103.336533,2734000
2017-11-01,110.000000,110.010002,103.089996,105.150002,99.787277,2316100
2017-11-02,105.220001,106.440002,104.500000,106.379997,100.954552,1739900
2017-11-03,106.080002,106.650002,105.570000,106.300003,100.878624,1156000
2017-11-06,106.330002,106.989998,105.059998,105.510002,100.128922,1125100
2017-11-07,105.430000,107.559998,105.160004,107.500000,102.017433,1254100
2017-11-08,107.589996,107.849998,106.300003,107.080002,101.618858,1111100
2017-11-09,106.529999,106.540001,101.779999,102.400002,97.177528,2104600
2017-11-10,102.199997,103.099998,101.610001,102.440002,97.215500,2176300
2017-11-13,101.519997,103.029999,101.230003,101.930000,96.731506,2259100
2017-11-14,101.339996,102.209999,100.699997,102.150002,97.504669,1844400
2017-11-15,102.040001,103.309998,100.510002,102.949997,98.268288,2109400
2017-11-16,103.489998,106.959999,102.790001,104.769997,100.005516,2262300
2017-11-17,105.760002,106.519997,101.529999,101.650002,97.027405,1693600
2017-11-20,101.989998,103.250000,101.720001,102.510002,97.848297,1615500
2017-11-21,103.260002,104.879997,103.250000,104.730003,99.967346,1508600
2017-11-22,105.680000,105.680000,103.870003,104.470001,99.719162,1206400
2017-11-24,104.730003,105.419998,104.080002,105.040001,100.263252,891400
2017-11-27,103.639999,105.099998,102.300003,104.389999,99.642799,1324000
2017-11-28,104.269997,107.220001,104.269997,107.160004,102.286835,1670500
2017-11-29,107.160004,107.379997,98.910004,100.349998,95.786522,3461400
2017-11-30,101.500000,104.330002,100.970001,102.239998,97.590569,3569500
2017-12-01,101.260002,104.000000,99.720001,103.870003,99.146446,2205100
2017-12-04,104.699997,104.889999,100.199997,100.879997,96.292412,1882600
2017-12-05,101.150002,104.660004,100.050003,102.639999,97.972382,1433400
2017-12-06,101.839996,102.970001,101.150002,102.739998,98.067833,1271200
2017-12-07,103.110001,105.000000,102.860001,104.580002,99.824181,1213500
2017-12-08,105.080002,105.830002,103.809998,103.980003,99.251450,1017100
2017-12-11,104.250000,104.690002,102.489998,103.849998,99.127350,1114100
2017-12-12,103.809998,104.029999,102.029999,103.059998,98.373291,1297800
2017-12-13,103.260002,104.269997,102.309998,103.870003,99.146446,1169900
2017-12-14,105.540001,106.320000,103.949997,104.419998,99.671432,1372600
2017-12-15,104.330002,106.220001,103.180000,105.629997,100.826416,2648400
