KHC,LBTYA,LBTYK,MYL,WBA,AAPL,GOOG,GOOGL,SPY,Date
61.539124,43.150002,41.57,50.66,76.179863,106.55913500000001,725.299988,745.97998,190.71899399999998,2015-11-17
62.516681999999996,43.25,41.34,52.02,77.658066,109.933342,740.0,760.01001,193.74496499999998,2015-11-18
63.16695,42.0,40.369999,51.220001,76.051285,111.329895,738.409973,759.9400019999999,193.577866,2015-11-19
63.43395600000001,42.790001000000004,40.860001000000004,51.869999,75.13314799999999,111.81726100000002,756.599976,777.0,194.28333999999998,2015-11-20
63.795715,42.400002,40.75,50.880001,75.20659599999999,110.364494,755.97998,776.700012,194.06054699999999,2015-11-23
64.140213,41.630001,39.860001000000004,50.389998999999996,76.143127,111.423599,748.280029,769.630005,194.32048,2015-11-24
64.286629,42.290001000000004,40.639998999999996,51.799999,76.57466099999999,110.626923,748.150024,769.26001,194.292633,2015-11-25
64.260811,41.990002000000004,40.509997999999996,51.740002000000004,77.290825,110.420731,750.26001,771.969971,194.515366,2015-11-27
63.468430000000005,42.41,41.0,51.299999,77.15308399999999,110.879997,742.599976,762.849976,193.707825,2015-11-30
64.140213,43.139998999999996,41.68,53.080002,77.116386,109.980186,767.039978,783.789978,195.554977,2015-12-01
62.90856899999999,42.880001,41.490002000000004,52.080002,76.49200400000001,108.98667900000001,762.380005,777.849976,193.559341,2015-12-02
61.547722,42.060001,40.5,51.07,75.234146,107.974419,752.539978,768.200012,190.848953,2015-12-03
62.20231999999999,42.310001,40.880001,51.41,77.69483199999999,111.564194,766.8099980000001,779.210022,194.571075,2015-12-04
61.521893000000006,42.400002,40.84,51.09,77.924355,110.861244,763.25,772.98999,193.392273,2015-12-07
61.608025,41.98,40.32,51.259997999999996,76.813377,110.81437700000001,762.369995,775.1400150000001,192.092773,2015-12-08
61.065414000000004,41.290001000000004,39.73,50.700001,76.519562,108.36808,751.6099849999999,762.549988,190.59831200000002,2015-12-09
61.013741,42.18,40.200001,52.93,76.593018,108.883583,749.460022,760.039978,191.090317,2015-12-10
60.023262,41.389998999999996,39.599998,52.560001,75.022972,106.081123,738.869995,750.419983,187.386749,2015-12-11
61.130013,39.779999,38.380001,53.369999,75.803391,105.425026,747.77002,762.539978,188.333527,2015-12-14
62.02145,40.0,38.400002,53.990002000000004,75.39022800000001,103.559845,743.400024,760.090027,190.310608,2015-12-15
62.882729000000005,41.16,39.470001,54.389998999999996,77.777458,104.356514,758.090027,776.590027,193.09523000000002,2015-12-16
61.943916,40.049999,38.560001,52.970001,76.519562,102.144554,749.429993,769.830017,190.152817,2015-12-17
60.867306000000006,38.860001000000004,37.529999,53.169998,75.75748399999999,99.37958499999999,739.3099980000001,756.849976,186.765213,2015-12-18
61.98315,38.889998999999996,37.5,53.639998999999996,77.942711,100.598045,747.77002,760.799988,188.305847,2015-12-21
63.329102,38.900002,37.549999,54.189999,78.97105400000001,100.504333,750.0,767.130005,190.014633,2015-12-22
64.701103,39.27,37.849998,54.790001000000004,79.007774,101.79776,750.3099980000001,768.51001,192.36763,2015-12-23
64.223511,39.740002000000004,38.32,54.82,79.384232,101.254143,748.400024,765.840027,192.050125,2015-12-24
63.754601,39.459998999999996,38.110001000000004,54.330002,78.81498,100.12003299999999,762.51001,782.23999,191.611298,2015-12-28
64.857407,40.25,38.77,55.279999,79.71476,101.919609,776.599976,793.960022,193.656174,2015-12-29
64.04115300000001,40.439999,38.669998,54.619999,79.319969,100.588676,771.0,790.299988,192.28358500000002,2015-12-30
63.18146899999999,42.360001000000004,40.77,54.07,78.190613,98.657883,758.880005,778.01001,190.360107,2015-12-31
63.12937900000001,41.75,40.23,53.279999,76.253311,98.742249,741.840027,759.4400019999999,187.698959,2016-01-04
63.728542000000004,41.560001,39.799999,54.09,74.25170899999999,96.267815,742.580017,761.530029,188.016418,2016-01-05
63.850113,40.779999,39.049999,53.360001000000004,73.113174,94.383888,743.619995,759.330017,185.64473,2016-01-06
62.434689,39.200001,37.75,51.610001000000004,74.527153,90.400467,726.3900150000001,741.0,181.190842,2016-01-07
61.809470999999995,38.200001,36.91,49.419998,74.416977,90.878479,714.469971,730.909973,179.201996,2016-01-08
62.755989,35.509997999999996,34.599998,49.5,74.38943499999999,92.35000600000001,716.030029,733.070007,179.379395,2016-01-11
63.58961899999999,35.139998999999996,34.139998999999996,50.09,75.123962,93.6903,726.070007,745.340027,180.826675,2016-01-12
61.488186,33.740002000000004,32.59,48.889998999999996,73.388634,91.281494,700.5599980000001,719.570007,176.316788,2016-01-13
61.427402,34.790001000000004,33.450001,50.700001,75.169861,93.277916,714.719971,731.3900150000001,179.211304,2016-01-14
